"","Location","Date","New_Cases","Measure","Exports_Value","Imports_Value"
"433","New Zealand",2021-05-05,4,"$",148000000,214000000
"434","New Zealand",2021-05-06,1,"$",180000000,241000000
"435","New Zealand",2021-05-07,0,"$",198000000,203000000
"436","New Zealand",2021-05-08,8,"$",180000000,27000000
"437","New Zealand",2021-05-09,2,"$",180000000,44000000
"438","New Zealand",2021-05-10,0,"$",219000000,211000000
"439","New Zealand",2021-05-11,-1,"$",162000000,234000000
"440","New Zealand",2021-05-12,1,"$",167000000,223000000
"441","New Zealand",2021-05-13,1,"$",176000000,239000000
"442","New Zealand",2021-05-14,0,"$",302000000,253000000
"443","New Zealand",2021-05-15,1,"$",169000000,22000000
"444","New Zealand",2021-05-16,5,"$",101000000,38000000
"445","New Zealand",2021-05-17,2,"$",179000000,185000000
"446","New Zealand",2021-05-18,5,"$",147000000,222000000
"447","New Zealand",2021-05-19,1,"$",155000000,226000000
"448","New Zealand",2021-05-20,3,"$",172000000,209000000
"449","New Zealand",2021-05-21,1,"$",186000000,244000000
"450","New Zealand",2021-05-22,6,"$",166000000,33000000
"451","New Zealand",2021-05-23,0,"$",281000000,32000000
"452","New Zealand",2021-05-24,1,"$",378000000,248000000
"453","New Zealand",2021-05-25,0,"$",125000000,221000000
"454","New Zealand",2021-05-26,1,"$",176000000,227000000
"455","New Zealand",2021-05-27,0,"$",194000000,234000000
"456","New Zealand",2021-05-28,0,"$",133000000,290000000
"457","New Zealand",2021-05-29,2,"$",167000000,27000000
"458","New Zealand",2021-05-30,1,"$",125000000,34000000
"459","New Zealand",2021-05-31,0,"$",309000000,287000000
"460","New Zealand",2021-06-01,6,"$",154000000,388000000
"461","New Zealand",2021-06-02,2,"$",135000000,289000000
"462","New Zealand",2021-06-03,1,"$",162000000,282000000
"463","New Zealand",2021-06-04,0,"$",153000000,240000000
"464","New Zealand",2021-06-05,0,"$",197000000,29000000
"465","New Zealand",2021-06-06,0,"$",198000000,43000000
"466","New Zealand",2021-06-07,10,"$",328000000,63000000
"467","New Zealand",2021-06-08,4,"$",112000000,281000000
"468","New Zealand",2021-06-09,1,"$",134000000,256000000
"469","New Zealand",2021-06-10,5,"$",229000000,215000000
"470","New Zealand",2021-06-11,0,"$",140000000,265000000
"471","New Zealand",2021-06-12,6,"$",145000000,29000000
"472","New Zealand",2021-06-13,1,"$",251000000,51000000
"473","New Zealand",2021-06-14,0,"$",156000000,260000000
"474","New Zealand",2021-06-15,2,"$",136000000,265000000
"475","New Zealand",2021-06-16,2,"$",175000000,197000000
