"","Period","Value","Type"
"2301",2018-05-31,1027,"FPI_Restaurant_meals_and_ready-to-eat_food"
"15110",2018-05-31,23.834,"Exports_Cumulative_billion"
"1519",2018-05-31,24.059,"Imports_Cumulative_billion"
"17612",2018-05-31,2.4996,"NZAC_Total_Annual_change"
"3942",2018-05-31,4.6429,"NZAC_Annual_change_Card_transaction_spend"
"6114",2018-05-31,-0.3676,"NZAC_Annual_change_Electricity_grid_demand"
"8271",2018-05-31,55.929,"NZAC_Annual_change_Manufacturing_index"
"10301",2018-05-31,10.2977,"NZAC_Annual_change_New_jobs_posted_online"
"12461",2018-05-31,4.0267,"NZAC_Annual_change_Traffic_index_(heavy)"
"14612",2018-05-31,3.8703,"NZAC_Annual_change_Traffic_index_(light)"
"15210",2018-06-01,24.02,"Exports_Cumulative_billion"
"1520",2018-06-01,24.332,"Imports_Cumulative_billion"
"15310",2018-06-02,24.148,"Exports_Cumulative_billion"
"15211",2018-06-02,24.364,"Imports_Cumulative_billion"
"15410",2018-06-03,24.283,"Exports_Cumulative_billion"
"15221",2018-06-03,24.406,"Imports_Cumulative_billion"
"15510",2018-06-04,24.516,"Exports_Cumulative_billion"
"1523",2018-06-04,24.449,"Imports_Cumulative_billion"
"15610",2018-06-05,24.665,"Exports_Cumulative_billion"
"1524",2018-06-05,24.676,"Imports_Cumulative_billion"
"15710",2018-06-06,24.804,"Exports_Cumulative_billion"
"1525",2018-06-06,24.906,"Imports_Cumulative_billion"
"15810",2018-06-07,24.929,"Exports_Cumulative_billion"
"1526",2018-06-07,25.177,"Imports_Cumulative_billion"
"15910",2018-06-08,25.072,"Exports_Cumulative_billion"
"1527",2018-06-08,25.39,"Imports_Cumulative_billion"
"16010",2018-06-09,25.147,"Exports_Cumulative_billion"
"1528",2018-06-09,25.421,"Imports_Cumulative_billion"
"16110",2018-06-10,25.402,"Exports_Cumulative_billion"
"1529",2018-06-10,25.465,"Imports_Cumulative_billion"
"16210",2018-06-11,25.677,"Exports_Cumulative_billion"
"1530",2018-06-11,25.674,"Imports_Cumulative_billion"
"16310",2018-06-12,25.818,"Exports_Cumulative_billion"
"15311",2018-06-12,25.917,"Imports_Cumulative_billion"
"16410",2018-06-13,25.967,"Exports_Cumulative_billion"
"15321",2018-06-13,26.189,"Imports_Cumulative_billion"
"16510",2018-06-14,26.113,"Exports_Cumulative_billion"
"1533",2018-06-14,26.48,"Imports_Cumulative_billion"
"16610",2018-06-15,26.298,"Exports_Cumulative_billion"
"1534",2018-06-15,26.68,"Imports_Cumulative_billion"
"16710",2018-06-16,26.419,"Exports_Cumulative_billion"
"1535",2018-06-16,26.709,"Imports_Cumulative_billion"
"16810",2018-06-17,26.61,"Exports_Cumulative_billion"
"1536",2018-06-17,26.754,"Imports_Cumulative_billion"
"16910",2018-06-18,26.892,"Exports_Cumulative_billion"
"1537",2018-06-18,26.993,"Imports_Cumulative_billion"
"17010",2018-06-19,27.075,"Exports_Cumulative_billion"
"1538",2018-06-19,27.205,"Imports_Cumulative_billion"
"17110",2018-06-20,27.194,"Exports_Cumulative_billion"
"1539",2018-06-20,27.386,"Imports_Cumulative_billion"
"17210",2018-06-21,27.317,"Exports_Cumulative_billion"
"1540",2018-06-21,27.656,"Imports_Cumulative_billion"
"17310",2018-06-22,27.429,"Exports_Cumulative_billion"
"15411",2018-06-22,27.847,"Imports_Cumulative_billion"
"17410",2018-06-23,27.522,"Exports_Cumulative_billion"
